algorithm,latency_ms,packet_loss_percent,run_number,handshake_time_ms,cpu_time_ms,memory_peak_mb,memory_delta_mb,bytes_transmitted,was_successful,error_msg
CRYSTALS-Kyber,0,2,15,63.3026040013647,0,25.65234375,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,16,63.9984290028224,10,25.65234375,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,17,1117.59630500092,9.99999999999979,25.65234375,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,18,217.575321999902,20.0000000000007,25.65234375,0.03515625,7840,1,None
CRYSTALS-Kyber,0,2,19,3292.32745199988,40.0000000000003,25.65234375,0.03515625,7640,1,None
CRYSTALS-Kyber,0,2,20,284.267532999365,10,25.65234375,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,21,63.0266789994494,0,25.65625,0.03515625,7376,1,None
CRYSTALS-Kyber,0,2,22,1079.80455100187,19.9999999999998,25.65625,0.03515625,7856,1,None
CRYSTALS-Kyber,0,2,23,63.7211390021548,0,25.66015625,0.03515625,7480,1,None
CRYSTALS-Kyber,0,2,24,437.056703001872,19.9999999999998,25.66015625,0.03515625,7664,1,None
CRYSTALS-Kyber,0,2,25,64.9874260016077,0,25.6640625,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,26,61.6646779999428,0,25.6640625,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,27,63.2716829968558,9.99999999999979,25.6640625,0.03515625,7408,1,None
CRYSTALS-Kyber,0,2,28,63.2749340002192,0,25.6640625,0.03515625,7408,1,None
CRYSTALS-Kyber,0,2,29,62.5734749992262,9.99999999999979,25.6640625,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,30,64.163165003265,0,25.6640625,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,31,283.649544002401,10.0000000000007,25.6640625,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,32,63.2289509994735,10,25.6640625,0.03515625,7480,1,None
CRYSTALS-Kyber,0,2,33,81.0377599991625,9.99999999999979,25.6640625,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,34,63.7875259999419,0,25.6640625,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,35,63.26373200136,19.9999999999998,25.6640625,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,36,298.118303999217,10.0000000000007,25.66796875,0.03515625,7480,1,None
CRYSTALS-Kyber,0,2,37,64.2724030003592,0,25.66796875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,38,236.720007000258,20.0000000000007,25.66796875,0.03515625,7440,1,None
CRYSTALS-Kyber,0,2,39,64.9757809987932,0,25.66796875,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,40,470.225491000747,10,25.66796875,0.03515625,7536,1,None
